Kabupaten_Kota,Tingkat_Penduduk_Miskin,Rata-rata Lama Sekolah,Indeks Pembangunan Gender,Usia Harapan Hidup,PengeluaranPerKapita,Harapan Lama Sekolah,Produk Domestik Regional Bruto,Indeks Kemahalan Konstruksi,PengeluaranPerkapita_Rokok
Lombok Tengah,12.07,6.73,88.78,67.32,11531,13.89,22604.87,101.64,18504
Lombok Timur,14.51,7.36,92.39,67.2,10571,14.07,26292.68,105.37,15167
Sumbawa,12.87,8.59,94.96,68.81,10349,13.34,18517.44,95.97,23019
Dompu,11.59,9.04,91.52,67.99,9971,13.84,9064.03,108.9,26334
Bima,13.88,8.3,92.33,67.52,9418,13.66,14756.77,111,21367
Sumbawa Barat,12.23,8.99,93.61,69.54,12841,13.68,36564.87,97.37,26785
Lombok Utara,23.96,6.4,86.04,68.43,10272,13.02,5982.72,100.83,10588
Kota Mataram,8,9.58,93.32,72.75,16514,15.68,24200.34,102.96,18635
Kota Bima,8.12,10.96,96.88,71.41,12362,15.08,5313.65,110.99,22548
Sumba Barat,26.52,7.17,95.06,67.72,8243,13.4,3005.18,99.11,12426
Sumba Timur,27.04,7.77,96.24,66.05,10280,12.87,7800.07,97.82,16481
Kupang,21.37,7.62,89.03,65.95,8508,13.9,9867.94,82.56,7693
Timor Tengah Selatan,24.68,7.21,95.96,67.03,7755,12.62,10243.24,86.09,11561
Timor Tengah Utara,20.89,8.17,96.08,67.82,7242,13.36,5155.51,85.04,11480
Belu,13.86,7.5,97.25,65.93,8159,12.32,5931.22,77.03,10836
Alor,19.87,8.61,92.75,62.62,7806,12.48,4007.68,102.16,11394
Lembata,24.22,8.27,91.7,68.12,8238,12.47,2254.76,93.55,14780
Flores Timur,11.25,8.06,92.15,66.21,8505,12.96,6445.52,93.66,13394
Sikka,11.89,6.99,89.7,68.52,9019,13.67,6755.6,89.38,13582
Ende,22.57,8.29,96.33,66.3,10009,13.83,7885.46,86.78,15737
Ngada,11.87,8.83,96.35,68.92,9585,12.75,4469.22,84.89,12422
Manggarai,19.01,7.91,89.08,67.89,8204,13.73,5943.8,102.79,16014
Rote Ndao,25.78,7.83,85.6,65.85,7365,13.23,3916.13,108.37,9886
Manggarai Barat,16.74,8.21,89.04,68.3,8195,12.54,4594.28,99.67,21024
Sumba Tengah,30.84,7.23,91.24,69.1,6743,13.14,1527.18,98.03,12996
Sumba Barat Daya,27.2,6.39,98.36,69.2,7358,13.11,4929.85,96.6,12870
Nagekeo,12.3,8.23,98.35,68.17,8986,12.69,2870.42,86.04,13444
Manggarai Timur,24.9,7.96,91.97,68.69,6561,12.66,4268.95,93.7,18094
Sabu Raijua,28.13,6.99,92.42,61.27,6207,13.19,1732.61,115.55,15377
Malaka,13.92,7.14,90.79,65.99,6879,12.83,3769.8,80.07,11156
Kota Kupang,8.24,11.64,96.47,70.84,14001,16.54,30773.41,84.59,10503
Sambas,6.53,6.76,88.39,70.11,11538,12.76,28560.99,110.04,16190
Bengkayang,6,7.41,84.06,74.42,10208,12.22,12237.93,105.48,21827
Landak,8.98,7.46,89.71,74,8868,12.54,14967.02,109.12,22650
Pontianak,4.83,7.21,89.03,71.87,9163,12.9,12512.59,103.51,21943
Sanggau,4.67,7.47,83.03,71.91,9728,11.88,26523.74,109.31,23502
Ketapang,8.5,7.68,89.61,71.64,10472,11.97,39117.19,103.67,25417
Sintang,8.03,7.65,88.05,72.72,9657,12.32,20484.66,110.81,23372
Kapuas Hulu,7.4,8.03,86.83,73.05,8470,12.23,14341.78,114.75,28532
Sekadau,5.66,7.23,84.13,72.96,8511,11.93,9431.98,105.72,22922
Melawi,10.62,7.66,81.9,73.49,9596,11.37,7234.13,110.58,25195
Kayong Utara,8.84,6.54,86.99,69.51,9016,12.2,5831.21,106.78,25905
Kubu Raya,4.08,7.05,85.68,71.44,10132,13.9,41725.56,103.68,20138
Kota Pontianak,4.2,10.47,94.8,74.15,16212,15.06,51349.89,102.16,18520
Kota Singkawang,4.53,8.22,93.15,72.98,12945,12.95,14015.4,107.89,16471
Kotawaringin Barat,4.11,8.77,92.32,71.38,14095,12.78,31220.97,106.99,33418
Kotawaringin Timur,5.66,8.18,88.57,70.51,13042,12.89,37991.11,105.91,29622
Kapuas,5.25,7.93,95.68,69.34,12265,13.01,25168.57,102.29,17930
Barito Selatan,4.83,9.22,92.61,67.86,12508,13,8898.71,103.59,21593
Barito Utara,5.67,8.92,87.96,71.8,11150,12.55,14039.32,104.95,28537
Sukamara,4.14,8.18,92.01,72.15,9809,12.17,6497.9,111.64,38264
Lamandau,3.25,8.82,92,69.98,12278,12.53,8264.76,111.64,40528
Seruyan,7.08,8.01,89.5,69.72,10474,12.04,12608.29,108.01,41963
Katingan,5.26,8.95,86.8,66.52,11691,12.99,11675.81,102.48,23014
Pulang Pisau,4.56,8.42,92.25,68.74,11207,12.52,7660.04,102.2,27264
Gunung Mas,5.68,9.37,92.4,71.1,11902,12.1,9761.74,112.63,30194
Barito Timur,6.66,9.54,89.49,69.02,12576,12.88,10914.98,102.86,21928
Murung Raya,6.58,7.94,84.7,70.04,11503,12.05,11856.6,116.04,22106
Kota Palangka Raya,3.52,11.66,95.69,73.82,15188,15.13,26236.48,101.91,17501
Tanah Laut,3.74,7.94,87.78,70.31,12595,12.43,21254.1,101.31,25029
Kota Baru,4.45,7.56,85.17,69.93,12929,12.08,37126.16,97.22,24624
Banjar,2.36,7.95,92.52,68.26,13683,13.04,24042.01,101.45,16484
Barito Kuala,4.36,7.92,90.16,67.07,11168,12.56,11350.36,110.05,18844
Tapin,3.33,8.15,85.39,71.35,13163,12.34,14407.15,99.21,26106
Hulu Sungai Selatan,3.38,8.09,90.08,67.17,14150,12.48,9901.34,93.27,15852
Hulu Sungai Tengah,5.81,8.35,96.18,67.12,13176,12.31,9366.01,99.41,18044
Hulu Sungai Utara,5.75,7.78,91.79,65.26,10981,13.21,6612.42,102.82,12612
Tabalong,5.64,9.15,86.83,71.46,13097,12.92,32643.48,100.89,18154
Tanah Bumbu,3.41,8.43,85.83,71.11,13026,12.61,35709.24,98.82,24399
Balangan,4.87,8.13,92.95,68.59,12325,13.09,21764.18,106.76,17834
Kota Banjarmasin,4.58,10.35,94.43,72.1,15714,14.01,45666.21,100,13511
Kota Banjar Baru,3.79,11,93.01,72.82,14927,14.86,14517.74,98.84,20549
Paser,8.63,8.92,73.73,73.17,12181,13.38,55429.39,114.87,28396
Kutai Barat,9.56,8.89,85.88,73.37,11903,13.36,39694.31,126.5,27227
Kutai Kartanegara,7.28,9.27,81.2,72.94,12957,13.65,204700.1,112.34,21869
Kutai Timur,8.81,9.47,78.61,73.75,12490,13.02,159497.2,123.01,33435
Berau,5.08,9.57,88.58,72.59,14101,13.37,50816.51,115.92,30398
Penajam Paser Utara,6.69,8.57,87.23,72.04,13100,12.87,23327.35,117.84,25033
Mahakam Hulu,10.75,8.5,83.61,72.65,9126,12.78,3773.97,137.82,28930
Kota Balikpapan,2.23,10.99,90.34,75.1,16854,14.25,153567.1,111.89,19961
